002008.SZ,1.806044e-01,002241.SZ,600522.SH,000538.SZ
002304.SZ,9.343860e-02,601021.SH,600887.SH,601118.SH
002310.SZ,7.545877e-02,000725.SZ,600588.SH,000008.SZ
002714.SZ,2.011519e-01,002385.SZ,600373.SH,300133.SZ
300059.SZ,8.364608e-02,300033.SZ,002202.SZ,000750.SZ
600150.SH,1.793751e-01,600685.SH,600893.SH,601718.SH
600446.SH,4.827906e-02,000938.SZ,600109.SH,600718.SH
600588.SH,6.885725e-02,300017.SZ,000008.SZ,002310.SZ
601611.SH,4.188403e-02,601718.SH,600827.SH,600820.SH
601988.SH,2.730488e-02,601939.SH,601398.SH,601166.SH
